DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0828-AUS,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Jasper',AUS,Australia,Australia and New Zealand,Oceania,"Cairns, Port Douglas, Daintree, Cooktown, Wujal Wujal and Hope Vale (Queensland)",,Flood,No,No,No,,220,Kph,,,,2023,12,13,2023,12,15,,,300,,300,,,,,,,100,,2023-12-13,2023-12-18
2023-0829-CHL,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,CHL,Chile,Latin America and the Caribbean,Americas,"Valparaiso, O'Higgins and Santiago Metropolitan Regions",,,No,No,No,,,Km2,,,,2023,12,6,2023,12,11,,7,375,,382,,,,,,,100,,2023-12-11,2023-12-18
2023-0831-ARG,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,ARG,Argentina,Latin America and the Caribbean,Americas,Bahía Blanca and Moreno Cities (Buenos Aires Province),,Lightening,No,No,No,,150,Kph,,,,2023,12,13,2023,12,18,15,14,300,,314,,,,,125000,125000,100,,2023-12-18,2023-12-22
2023-0831-URY,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,URY,Uruguay,Latin America and the Caribbean,Americas,Colonia Department,,Lightening,No,No,No,,167,Kph,,,,2023,12,13,2023,12,18,2,,,,,,,,,,,100,,2023-12-18,2023-12-22
2023-0838-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,CHN,China,Eastern Asia,Asia,Gansu province; Haidong (Qinghai province),,"Slide (land, mud, snow, rock)",No,No,No,,5.9,Moment Magnitude,35.743,102.827,,2023,12,19,2023,12,19,151,980,600000,,600980,,,2800,2800,1000000,1000000,100,,2023-12-19,2024-08-27
2023-0842-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Jelawat' (Kabayan),PHL,Philippines,South-eastern Asia,Asia,"Davao, Northern Mindanao, Caraga, Mimaropa, Western Visayas and Eastern Visayas)",,,No,No,No,,,Kph,,,,2023,12,18,2023,12,19,1,1,425866,,425867,,,,,42,42,100,,2023-12-19,2024-08-27
2023-0843-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Massachusetts, Maine, New Jersey, New York, Pennsylvania and South Carolina",,Flood,No,No,No,,,Kph,,,Passaic River,2023,12,16,2023,12,19,7,12,57,,69,,,,,1300000,1300000,100,,2023-12-19,2024-02-28
2023-0844-AGO,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2023-000249,,AGO,Angola,Sub-Saharan Africa,Africa,"Luanda, Huambo, Bie, Malanje and Kwanza Norte provinces",Heavy rains,,No,No,No,,,Km2,,,,2023,11,30,2023,12,5,30,,26460,,26460,,,,,,,100,,2023-12-19,2023-12-19
2023-0846-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Thoothukudi, Tirunelveli, Kanniyakumari and Tenkasi Districts (Tamil Nadu state)",Heavy rains,,No,No,No,,,Km2,,,,2023,12,18,2023,12,20,10,,,,,,,,,,,100,,2023-12-21,2023-12-22
2023-0847-ZAF,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,ZAF,South Africa,Sub-Saharan Africa,Africa,Dundee City area (KwaZulu-Natal Province),,Flood,No,No,No,,,Kph,,,,2023,12,19,2023,12,21,1,6,1211,,1217,,,,,,,100,,2023-12-21,2023-12-22
2023-0851-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Volcano 'Lewotobi Laki-Laki',IDN,Indonesia,South-eastern Asia,Asia,"Nusa Tengarra, East Flores Regency (Flores Isl.)",,,No,No,No,,,,,,,2023,12,,2024,1,2,,,2229,,2229,,,,,,,100,,2024-01-02,2024-01-23
2023-0854-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia," Johor, Kelantan, Pahang, Sabah, and Terengganu states",Heavy rains,,No,No,No,,,Km2,,,,2023,12,22,2023,12,25,2,,25676,,25676,,,,,,,100,,2024-01-02,2024-01-02
2023-0854-THA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,THA,Thailand,South-eastern Asia,Asia,"Satun, Songkhla, Pattani,, Yala, Narathiwat provinces",Heavy rains,,No,No,No,,,Km2,,,,2023,12,22,2023,12,25,6,,241473,,241473,,,,,,,100,,2024-01-02,2024-01-02
2023-0855-ZAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,"Ladysmith, Mandeni (KwaZulu-Natal province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,12,24,2023,12,26,34,,1800,,1800,,,,,,,100,,2024-01-02,2024-01-04
2023-0856-AUS,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,AUS,Australia,Australia and New Zealand,Oceania,"New South Wales, Queensland, Victoria provinces (Queensland)",,Flood|Lightening|Transport accident,No,No,No,,,Kph,,,,2023,12,23,2023,12,27,10,,2100,,2100,,,,,,,100,,2024-01-02,2024-01-02
2023-0857-COD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Bukavu, and Burhinyi (South Kivu)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,12,26,2023,12,27,40,5,,,5,,,,,,,100,,2024-01-02,2024-01-04
2023-0858-COD,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Kananga (Kasai Central); Nord-Ubangi, Sud-Ubangi, Tshopo",Heavy rains,Flood,No,No,No,,,,,,,2023,12,25,2023,12,25,22,,,,,,,,,,,100,,2024-01-02,2024-02-13
2023-0866-FRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,FRA,France,Western Europe,Europe,Nord and Pas-de-Calais departments,Heavy rains,Storm,No,No,No,,,Km2,,,"Aa, Helpe Mineure and Solre rivers",2023,12,30,2024,1,3,1,2,6048,,6050,,,,,,,100,,2024-01-04,2024-01-23
2023-0868-COG,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2023-000259,,COG,Congo,Sub-Saharan Africa,Africa,"Likouala, Sangha, Cuvette, Plateaux, Niari, Brazzaville and Pointe-Noire",Heavy rains,,No,No,Yes,,,Km2,,,,2023,12,7,2024,1,15,23,,321000,,321000,,,,,,,100,,2024-01-18,2024-08-01
